f0,b1,b2,b3,b4,b5,b6
67.803960,.0011,8.732,28.58,.69,4.930,.82
119.995940,.0007,8.353,29.48,.70,4.780,.79
336.227764,.0010,9.825,26.93,.69,4.740,.61
390.134508,.0045,7.347,21.52,.63,4.810,.55
437.346667,.0632,5.048,18.45,.60,4.230,.48
439.150807,.9098,3.595,20.07,.63,4.483,.52
443.018343,.1920,5.048,15.55,.60,5.083,.50
470.888999,.3254,3.597,21.34,.66,4.506,.65
474.689092,1.260,2.379,23.20,.65,4.804,.64
488.490108,.2529,2.852,25.86,.69,5.201,.72
503.568532,.0372,6.731,16.12,.61,3.980,.43
504.482692,.0124,6.731,16.12,.61,4.010,.45
547.676440,.9785,.158,26.00,.70,4.500,1.00
552.020960,.1840,.158,26.00,.70,4.500,1.00
620.700807,5.015,2.391,24.38,.71,4.856,.68
645.766085,.0067,8.633,18.00,.60,4.000,.50
658.005280,.2732,7.816,32.10,.69,4.140,1.00
841.051732,.0134,8.177,15.90,.33,5.760,.45
859.965698,.1325,8.055,30.60,.68,4.090,.84
899.303175,.0547,7.914,29.85,.68,4.530,.90
902.611085,.0386,8.429,28.65,.70,5.100,.95
906.205957,.1836,5.110,24.08,.70,4.700,.53
916.171582,8.400,1.441,26.73,.70,5.150,.78
923.112692,.0079,10.293,29.00,.70,5.000,.80
970.315022,9.009,1.919,25.50,.64,4.940,.67
987.926764,134.6,.257,29.85,.68,4.550,.90
